lv,salary,p0,p1,p2,p3
6,34800,1799,3598,5397,7196
7,36300,1877,3754,5631,7508
8,38200,1975,3950,5925,7900
9,40100,2073,4146,6219,8292
10,42000,2171,4342,6513,8684
11,43900,2270,4540,6810,9080
12,45800,2368,4736,7104,9472
13,48200,2492,4984,7476,9968
14,50600,2616,5232,7848,10464
15,53000,2740,5480,8220,10960
16,55400,2864,5728,8592,11456
17,57800,2988,5976,8964,11952
18,60800,3143,6286,9429,12572
19,63800,3298,6596,9894,13192
20,66800,3454,6908,10362,13816
21,69800,3609,7218,10827,14436
22,72800,3764,7528,11292,15056
23,76500,3955,7910,11865,15820
24,80200,4146,8292,12438,16584
25,83900,4338,8676,13014,17352
26,87600,4529,9058,13587,18116
27,92100,4762,9524,14286,19048
28,96600,4994,9988,14982,19976
29,101100,5227,10454,15681,20908
30,105600,5460,10920,16380,21840
31,110100,5692,11384,17076,22768
32,115500,5971,11942,17913,23884
33,120900,6251,12502,18753,25004
34,126300,6530,13060,19590,26120
35,131700,6809,13618,20427,27236
36,137100,7088,14176,21264,28352
37,142500,7367,14734,22101,29468
38,147900,7646,15292,22938,30584
39,150000,7755,15510,23265,31020
40,156400,8086,16172,24258,32344
41,162800,8417,16834,25251,33668
42,169200,8748,17496,26244,34992
43,175600,9079,18158,27237,36316
44,182000,9409,18818,28227,37636
45,189500,9797,19594,29391,39188
46,197000,10185,20370,30555,40740
47,204500,10573,21146,31719,42292
48,212000,10960,21920,32880,43840
49,219500,11348,22696,34044,45392
50,228200,11798,23596,35394,47192
51,236900,12248,24496,36744,48992
52,245600,12698,25396,38094,50792
53,254300,13147,26294,39441,52588
54,263000,13597,27194,40791,54388
55,273000,14114,28228,42342,56456
56,283000,14631,29262,43893,58524
57,293000,15148,30296,45444,60592
58,303000,15665,31330,46995,62660
59,313000,16182,32364,48546,64728
